"Industry","Short.name","Ticker","abs.change","percent.change","norm.per.change","Market.Cap.Nov5","Market.Cap.Nov7","P.E.Nov5","P.E.Nov7","Total.Return.Nov5","Total.Return.Nov7","Revenue.T12M.Nov5","Revenue.T12M.Nov7","EPS.T12M.Nov5","EPS.T12M.Nov7","percent.change.by.industry","sd"
"Consumer D","HASBRO INC","HAS US Equity",-0.164795999999999,-1.16867271228359,5.77334986893956,4891735552,4834567168,14.101125,13.936329,4.874651,21.23235,4134792000,4134792000,2.65,2.65,-6.94202258122315,15.7560360301773
"Consumer D","DR HORTON INC","DHI US Equity",9.153922,33.7146589263966,40.6566815076198,7502972928,6839315456,27.151163,36.305085,18.048532,71.035705,4722499968,4116100032,3.12,2.8,-6.94202258122315,15.7560360301773
"Consumer D","LENNAR CORP-A","LEN US Equity",9.903309,30.8649508703782,37.8069734516014,7570395648,7146810880,32.085938,41.989247,6.308487,99.875531,4104705984,3707422976,3.58,3.09,-6.94202258122315,15.7560360301773
"Consumer D","CARMAX INC","KMX US Equity",-2.300399,-10.6668178309913,-3.72479524976815,8957510656,7802518016,21.565935,19.265536,4.555139,11.876637,10610718976,10268786944,1.85,1.81,-6.94202258122315,15.7560360301773
"Consumer D","FAMILY DOLLAR ST","FDO US Equity",2.863646,18.6348857470012,25.5769083282244,6495520256,7658143232,15.367124,18.23077,-11.543921,16.236586,9604406016,9331004928,3.62,3.61,-6.94202258122315,15.7560360301773
"Consumer D","STAPLES INC","SPLS US Equity",-6.741979,-43.9151844160145,-36.9731618347913,9104141312,7990612992,15.352273,8.610294,18.508778,-13.595625,24416176128,24632963072,-0.03,1.33,-6.94202258122315,15.7560360301773
"Consumer D","AUTONATION INC","AN US Equity",-1.11489,-5.97513573069428,0.966886850528872,5793482752,5105522176,18.658823,17.543933,19.848869,13.723899,15668799744,15173699840,2.55,2.37,-6.94202258122315,15.7560360301773
"Consumer D","EBAY INC","EBAY US Equity",-5.7642,-19.5464916875528,-12.6044691063296,74173472768,62628892672,29.489691,23.725491,12.181554,59.577981,14071000064,13459010048,2.02,2.98,-6.94202258122315,15.7560360301773
"Consumer D","BED BATH &BEYOND","BBBY US Equity",-0.0507810000000006,-0.375583889055389,6.56643869216776,13391751168,13275083776,13.520548,13.469767,5.920231,-0.086257,10245422080,9887182080,4.43,4.35,-6.94202258122315,15.7560360301773
"Consumer D","AUTOZONE INC","AZO US Equity",0.880434000000001,5.70703875502686,12.64906133625,13619952640,14195531776,15.42716,16.307594,5.769831,18.278608,8670560000,8603860992,24.849999,24.119999,-6.94202258122315,15.7560360301773
"Consumer D","ESTEE LAUDER","EL US Equity",-1.747899,-6.63265224808676,0.309370333136392,24392970240,22775068672,26.352942,24.605043,4.777816,4.273507,9786399744,9786399744,2.27,2.27,-6.94202258122315,15.7560360301773
"Consumer D","BIG LOTS INC","BIG US Equity",-1.744846,-14.2436408163265,-7.30161823510335,1872293888,1820878336,12.25,10.505154,13.633174,-19.041311,5316297088,5320377984,2.7,2.86,-6.94202258122315,15.7560360301773
"Consumer D","AVON PRODUCTS","AVP US Equity",-2.841463,-13.5860045930521,-6.64398201182895,7411581952,6404643840,20.914633,18.07317,19.42897,-11.834114,10761699840,10761699840,0.27,0.27,-6.94202258122315,15.7560360301773
"Consumer D","EXPEDIA INC","EXPE US Equity",-3.231658,-12.4423886662793,-5.50036608505615,9131286528,7995136000,25.972971,22.741313,9.48893,104.43637,3842621056,3842621056,2.56,2.56,-6.94202258122315,15.7560360301773
"Consumer D","TJX COS INC","TJX US Equity",-1.126153,-5.8420739844317,1.09994859679145,33035149312,30194841600,19.276596,18.150443,6.713777,28.479303,24864315904,24246531072,2.38,2.29,-6.94202258122315,15.7560360301773
"Consumer D","NEWS CORP-A","NWSA US Equity",-2.262988,-12.3779124143462,-5.43588983312305,67015712768,58649751552,18.282469,16.019481,10.368484,39.377715,33882999296,33882999296,1.1,1.1,-6.94202258122315,15.7560360301773
"Consumer D","CHIPOTLE MEXICAN","CMG US Equity",-4.571004,-12.7434406953101,-5.80141811408695,9849133056,8594014208,35.869465,31.298461,5.12674,-19.210045,2628811968,2628811968,8.7,8.7,-6.94202258122315,15.7560360301773
"Consumer D","FORD MOTOR CO","F US Equity",-0.726356000000001,-7.81027956989248,-0.868256988669328,48718364672,41384419328,9.3,8.573644,1.270158,4.706912,134328000512,132403998720,1.49,4.65,-6.94202258122315,15.7560360301773
"Consumer D","ROSS STORES INC","ROST US Equity",-0.482634000000001,-2.68806750862714,4.25395507259601,13216082944,12598187008,17.954683,17.472049,9.872435,19.198602,9358297088,9142001024,3.36,3.27,-6.94202258122315,15.7560360301773
"Consumer D","VF CORP","VFC US Equity",1.093469,6.56658195425697,13.5086045354801,16288987136,17358616576,16.652027,17.745496,-2.053392,25.939148,10756833920,10756833920,9.18,9.18,-6.94202258122315,15.7560360301773
"Consumer D","PRICELINE.COM","PCLN US Equity",-1.923368,-7.43188309253243,-0.489860511309278,34185764864,31645118464,25.879955,23.956587,10.50468,35.684505,5061086016,5061086016,27.220001,27.220001,-6.94202258122315,15.7560360301773
"Consumer D","PETSMART INC","PETM US Equity",2.568146,12.9250244242903,19.8670470055135,6876252160,7209496064,19.869564,22.43771,-6.379861,31.232123,6516898944,6384944896,3.28,3.02,-6.94202258122315,15.7560360301773
"Consumer D","VIACOM INC-B","VIAB US Equity",-2.473668,-17.16122463506,-10.2192020538368,30054825984,25897492480,14.414286,11.940618,14.789532,12.547516,13248999936,14576999936,4.32,3.51,-6.94202258122315,15.7560360301773
"Consumer D","MATTEL INC","MAT US Equity",-0.44711,-2.93320985830375,4.0088127229194,13128257536,12438561792,15.243028,14.795918,4.478426,34.328753,6420876032,6318776064,2.24,2.44,-6.94202258122315,15.7560360301773
"Consumer D","MCDONALDS CORP","MCD US Equity",-1.543304,-8.621271106013,-1.67924852478985,96331554816,87205412864,17.901119,16.357815,8.774513,-11.441843,27566999552,27437599744,5.4,5.37,-6.94202258122315,15.7560360301773
"Consumer D","WAL-MART STORES","WMT US Equity",0.905721,6.15463743930616,13.0966600205293,235805818880,245755183104,14.716074,15.621795,3.312318,24.645482,464412000256,460708995072,4.88,4.77,-6.94202258122315,15.7560360301773
"Consumer D","TIME WARNER CABL","TWC US Equity",-0.412245,-2.62590984341171,4.31611273781144,27241115648,28140400640,15.69913,15.286885,-7.12008,49.73795,21386000384,20894000128,6.99,7.05,-6.94202258122315,15.7560360301773
"Consumer D","URBAN OUTFITTER","URBN US Equity",-3.941569,-11.6383119850399,-4.69628940381675,6325222912,5269677568,33.867188,29.925619,10.13719,31.386066,2668740992,2585800000,1.34,1.27,-6.94202258122315,15.7560360301773
"Consumer D","TARGET CORP","TGT US Equity",0.336903,2.4517062202413,9.39372880146445,39796080640,41120247808,13.741573,14.078476,3.346296,24.678612,71863000064,71335999488,4.55,4.4,-6.94202258122315,15.7560360301773
"Consumer D","COSTCO WHOLESALE","COST US Equity",-0.330407999999998,-1.307038807155,5.63498377406815,45371539456,42074894336,25.279127,24.948719,5.489717,17.835693,101223999488,99136999424,4.17,3.95,-6.94202258122315,15.7560360301773
"Consumer D","GENUINE PARTS CO","GPC US Equity",-1.527638,-8.8192620454175,-1.87723946419435,10694704128,9749635072,17.321608,15.79397,8.430325,5.217842,12909037056,12909037056,4,4,-6.94202258122315,15.7560360301773
"Consumer D","ABERCROMBIE & FI","ANF US Equity",-5.91488,-25.5960151972878,-18.6539926160646,4063267072,2711689728,23.108597,17.193717,6.462369,-31.847307,4371039936,4277246912,1.34,1.05,-6.94202258122315,15.7560360301773
"Consumer D","J.C. PENNEY CO","JCP US Equity",0,0,6.94202258122315,4358586880,4995100160,NA,NA,0.862507,-34.390963,14526000128,15584999936,-2.39,-2.5,-6.94202258122315,15.7560360301773
"Consumer D","KOHLS CORP","KSS US Equity",2.23431,21.1242098547501,28.0662324359733,10582759424,12738448384,10.577011,12.811321,7.049788,12.292932,18955999744,18841999872,4.38,4.26,-6.94202258122315,15.7560360301773
"Consumer D","GOODYEAR TIRE","GT US Equity",-1.405593,-14.5863434160793,-7.64432083485615,3375587072,2883212032,9.636363,8.23077,-0.217239,-16.937188,21630000128,21630000128,0.82,0.82,-6.94202258122315,15.7560360301773
